location,no\_change
Afghanistan,25
Albania,30
Algeria,8
Andorra,136
Angola,38
Anguilla,519
Antigua and Barbuda,285
Argentina,64
Armenia,38
Aruba,115
Australia,41
Austria,4
Azerbaijan,9
Bahamas,151
Bahrain,8
Bangladesh,13
Barbados,135
Belarus,9
Belgium,60
Belize,168
Benin,412
Bermuda,258
Bhutan,235
Bolivia,6
Bonaire Sint Eustatius and Saba,358
Bosnia and Herzegovina,80
Botswana,327
Brazil,4
British Virgin Islands,548
Brunei,360
Bulgaria,7
Burkina Faso,102
Burundi,179
Cambodia,207
Cameroon,404
Canada,16
Cape Verde,34
Cayman Islands,309
Central African Republic,364
Chad,208
Chile,7
China,42
Colombia,2
Comoros,151
Congo,408
Cook Islands,271
Costa Rica,105
Cote d'Ivoire,15
Croatia,19
Cuba,16
Curacao,150
Cyprus,44
Czechia,5
Democratic Republic of Congo,64
Denmark,34
Djibouti,100
Dominica,432
Dominican Republic,10
Ecuador,15
Egypt,18
El Salvador,167
Equatorial Guinea,310
Eritrea,198
Estonia,50
Eswatini,67
Ethiopia,17
Faeroe Islands,294
Falkland Islands,617
Fiji,399
Finland,35
France,26
French Polynesia,303
Gabon,133
Gambia,243
Georgia,24
Germany,17
Ghana,98
Gibraltar,167
Greece,16
Greenland,445
Grenada,446
Guatemala,32
Guernsey,388
Guinea,78
Guinea-Bissau,230
Guyana,33
Haiti,105
Honduras,83
Hong Kong,74
Hungary,49
Iceland,134
India,28
Indonesia,4
Iran,0
Iraq,3
Ireland,9
Isle of Man,284
Israel,9
Italy,17
Jamaica,15
Japan,9
Jersey,337
Jordan,27
Kazakhstan,4
Kenya,20
Kiribati,243
Kosovo,66
Kuwait,9
Kyrgyzstan,13
Laos,355
Latvia,32
Lebanon,17
Lesotho,223
Liberia,253
Libya,53
Liechtenstein,210
Lithuania,32
Luxembourg,102
Macao,687
Madagascar,252
Malawi,40
Malaysia,28
Maldives,31
Mali,25
Malta,48
Marshall Islands,472
Mauritania,67
Mauritius,295
Mexico,62
Micronesia (country),393
Moldova,7
Monaco,195
Mongolia,134
Montenegro,58
Montserrat,628
Morocco,34
Mozambique,20
Myanmar,39
Namibia,72
Nauru,286
Nepal,72
Netherlands,1
New Caledonia,450
New Zealand,102
Nicaragua,490
Niger,92
Nigeria,15
Niue,157
North Macedonia,14
Northern Cyprus,317
Norway,8
Oman,112
Pakistan,7
Palau,124
Palestine,58
Panama,4
Papua New Guinea,258
Paraguay,27
Peru,8
Philippines,32
Pitcairn,85
Poland,2
Portugal,2
Qatar,5
Romania,5
Russia,31
Rwanda,21
Saint Helena,525
Saint Kitts and Nevis,394
Saint Lucia,211
Saint Pierre and Miquelon,579
Saint Vincent and the Grenadines,264
Samoa,438
San Marino,229
Sao Tome and Principe,192
Saudi Arabia,31
Senegal,31
Serbia,16
Seychelles,274
Sierra Leone,119
Singapore,29
Sint Maarten (Dutch part),281
Slovakia,15
Slovenia,57
Solomon Islands,437
Somalia,273
South Africa,31
South Korea,19
South Sudan,163
Spain,112
Sri Lanka,54
Sudan,193
Suriname,76
Sweden,192
Switzerland,85
Syria,70
Taiwan,171
Tajikistan,294
Tanzania,621
Thailand,65
Timor,317
Togo,40
Tokelau,114
Tonga,290
Trinidad and Tobago,95
Tunisia,26
Turkey,1
Turkmenistan,183
Turks and Caicos Islands,207
Tuvalu,179
Uganda,20
Ukraine,9
United Arab Emirates,22
United Kingdom,7
United States,17
Uruguay,22
Uzbekistan,6
Vanuatu,456
Vatican,690
Venezuela,6
Vietnam,124
Wallis and Futuna,428
Yemen,117
Zambia,45
Zimbabwe,32
