location,no_change
Afghanistan,129
Albania,225
Algeria,110
Andorra,558
Angola,220
Anguilla,674
Antigua and Barbuda,601
Argentina,87
Armenia,127
Aruba,484
Australia,393
Austria,113
Azerbaijan,77
Bahamas,434
Bahrain,347
Bangladesh,69
Barbados,531
Belarus,299
Belgium,98
Belize,396
Benin,582
Bermuda,596
Bhutan,706
Bolivia,52
Bonaire Sint Eustatius and Saba,643
Bosnia and Herzegovina,141
Botswana,420
Brazil,22
British Virgin Islands,656
Brunei,643
Bulgaria,50
Burkina Faso,497
Burundi,677
Cambodia,503
Cameroon,499
Canada,69
Cape Verde,373
Cayman Islands,685
Central African Republic,617
Chad,547
Chile,58
China,663
Colombia,22
Comoros,574
Congo,513
Cook Islands,275
Costa Rica,217
Cote d'Ivoire,316
Croatia,141
Cuba,249
Curacao,514
Cyprus,347
Czechia,86
Democratic Republic of Congo,330
Denmark,195
Djibouti,576
Dominica,636
Dominican Republic,135
Ecuador,54
Egypt,55
El Salvador,190
Equatorial Guinea,584
Eritrea,578
Estonia,313
Eswatini,338
Ethiopia,137
Faeroe Islands,682
Falkland Islands,687
Fiji,578
Finland,253
France,39
French Polynesia,528
Gabon,439
Gambia,494
Georgia,204
Germany,55
Ghana,301
Gibraltar,646
Greece,88
Greenland,687
Grenada,622
Guatemala,98
Guernsey,388
Guinea,413
Guinea-Bissau,533
Guyana,241
Haiti,366
Honduras,119
Hong Kong,594
Hungary,132
Iceland,651
India,51
Indonesia,25
Iran,7
Iraq,70
Ireland,288
Isle of Man,630
Israel,120
Italy,37
Jamaica,196
Japan,113
Jersey,337
Jordan,205
Kazakhstan,397
Kenya,113
Kiribati,270
Kosovo,249
Kuwait,270
Kyrgyzstan,207
Laos,544
Latvia,232
Lebanon,215
Lesotho,455
Liberia,582
Libya,148
Liechtenstein,637
Lithuania,185
Luxembourg,364
Macao,760
Madagascar,416
Malawi,291
Malaysia,214
Maldives,473
Mali,307
Malta,394
Marshall Islands,480
Mauritania,335
Mauritius,573
Mexico,85
Micronesia (country),395
Moldova,79
Monaco,642
Mongolia,398
Montenegro,182
Montserrat,700
Morocco,113
Mozambique,279
Myanmar,274
Namibia,232
Nauru,286
Nepal,198
Netherlands,50
New Caledonia,631
New Zealand,655
Nicaragua,513
Niger,460
Nigeria,197
Niue,157
North Macedonia,121
Northern Cyprus,317
Norway,368
Oman,266
Pakistan,56
Palau,176
Palestine,196
Panama,90
Papua New Guinea,525
Paraguay,161
Peru,11
Philippines,60
Pitcairn,85
Poland,46
Portugal,82
Qatar,378
Romania,52
Russia,69
Rwanda,306
Saint Helena,531
Saint Kitts and Nevis,649
Saint Lucia,502
Saint Pierre and Miquelon,684
Saint Vincent and the Grenadines,610
Samoa,459
San Marino,581
Sao Tome and Principe,588
Saudi Arabia,179
Senegal,251
Serbia,127
Seychelles,588
Sierra Leone,569
Singapore,555
Sint Maarten (Dutch part),281
Slovakia,217
Slovenia,250
Solomon Islands,473
Somalia,442
South Africa,62
South Korea,155
South Sudan,567
Spain,151
Sri Lanka,287
Sudan,352
Suriname,303
Sweden,269
Switzerland,113
Syria,305
Taiwan,631
Tajikistan,533
Tanzania,659
Thailand,387
Timor,605
Togo,441
Tokelau,114
Tonga,306
Trinidad and Tobago,307
Tunisia,145
Turkey,16
Turkmenistan,183
Turks and Caicos Islands,631
Tuvalu,179
Uganda,301
Ukraine,47
United Arab Emirates,231
United Kingdom,45
United States,39
Uruguay,218
Uzbekistan,275
Vanuatu,465
Vatican,716
Venezuela,172
Vietnam,480
Wallis and Futuna,479
Yemen,232
Zambia,260
Zimbabwe,207
