location,min_days
Afghanistan,28
Albania,15
Algeria,16
Andorra,20
Angola,9
Anguilla,542
Antigua and Barbuda,25
Argentina,67
Armenia,52
Aruba,33
Australia,35
Austria,1
Azerbaijan,12
Bahamas,16
Bahrain,21
Bangladesh,15
Barbados,19
Belarus,32
Belgium,1
Belize,1
Benin,21
Bermuda,18
Bhutan,308
Bolivia,18
Bonaire Sint Eustatius and Saba,167
Bosnia and Herzegovina,1
Botswana,1
Brazil,1
British Virgin Islands,22
Brunei,2
Bulgaria,3
Burkina Faso,8
Burundi,13
Cambodia,409
Cameroon,2
Canada,43
Cape Verde,4
Cayman Islands,2
Central African Republic,69
Chad,40
Chile,28
China,1
Colombia,16
Comoros,6
Congo,18
Cook Islands,275
Costa Rica,1
Cote d'Ivoire,18
Croatia,23
Cuba,6
Curacao,5
Cyprus,17
Czechia,21
Democratic Republic of Congo,10
Denmark,1
Djibouti,23
Dominica,518
Dominican Republic,16
Ecuador,1
Egypt,23
El Salvador,5
Equatorial Guinea,38
Eritrea,276
Estonia,1
Eswatini,33
Ethiopia,23
Faeroe Islands,1
Falkland Islands,687
Fiji,183
Finland,1
France,1
French Polynesia,1
Gabon,6
Gambia,6
Georgia,38
Germany,42
Ghana,7
Gibraltar,252
Greece,1
Greenland,651
Grenada,287
Guatemala,28
Guernsey,388
Guinea,33
Guinea-Bissau,32
Guyana,0
Haiti,18
Honduras,3
Hong Kong,1
Hungary,1
Iceland,1
India,1
Indonesia,1
Iran,0
Iraq,9
Ireland,1
Isle of Man,12
Israel,29
Italy,21
Jamaica,8
Japan,22
Jersey,337
Jordan,24
Kazakhstan,1
Kenya,20
Kiribati,267
Kosovo,9
Kuwait,40
Kyrgyzstan,16
Laos,411
Latvia,1
Lebanon,18
Lesotho,57
Liberia,19
Libya,1
Liechtenstein,31
Lithuania,24
Luxembourg,1
Macao,760
Madagascar,58
Malawi,9
Malaysia,53
Maldives,52
Mali,4
Malta,34
Marshall Islands,480
Mauritania,16
Mauritius,7
Mexico,1
Micronesia (country),395
Moldova,1
Monaco,29
Mongolia,2
Montenegro,6
Montserrat,37
Morocco,32
Mozambique,64
Myanmar,4
Namibia,118
Nauru,286
Nepal,112
Netherlands,8
New Caledonia,1
New Zealand,30
Nicaragua,4
Niger,5
Nigeria,24
Niue,157
North Macedonia,25
Northern Cyprus,317
Norway,1
Oman,2
Pakistan,22
Palau,173
Palestine,1
Panama,1
Papua New Guinea,3
Paraguay,13
Peru,0
Philippines,3
Pitcairn,85
Poland,8
Portugal,16
Qatar,28
Romania,25
Russia,48
Rwanda,77
Saint Helena,531
Saint Kitts and Nevis,449
Saint Lucia,241
Saint Pierre and Miquelon,667
Saint Vincent and the Grenadines,2
Samoa,459
San Marino,0
Sao Tome and Principe,25
Saudi Arabia,22
Senegal,33
Serbia,1
Seychelles,296
Sierra Leone,23
Singapore,58
Sint Maarten (Dutch part),281
Slovakia,26
Slovenia,41
Solomon Islands,470
Somalia,23
South Africa,1
South Korea,29
South Sudan,40
Spain,1
Sri Lanka,61
Sudan,1
Suriname,20
Sweden,1
Switzerland,1
Syria,7
Taiwan,31
Tajikistan,2
Tanzania,4
Thailand,57
Timor,380
Togo,23
Tokelau,114
Tonga,306
Trinidad and Tobago,11
Tunisia,1
Turkey,1
Turkmenistan,183
Turks and Caicos Islands,8
Tuvalu,179
Uganda,125
Ukraine,10
United Arab Emirates,51
United Kingdom,2
United States,38
Uruguay,15
Uzbekistan,12
Vanuatu,162
Vatican,716
Venezuela,13
Vietnam,190
Wallis and Futuna,153
Yemen,20
Zambia,15
Zimbabwe,3
